Columna2;CODIGODEPTO;NOMBREDEPTO;VICEPRESIDENCIANIVEL1;VICEPRESIDENCIANIVEL2
202107;1980157;UNIDAD DISEÑO DE OPERACIONES COMERCIALES;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA COMERCIAL
202107;1980315;GERENCIA IDENTIDAD CORPORATIVA;VICEPRESIDENCIA COMUNICACIÓN Y RELACIONES CORPORATIVAS;GERENCIA IDENTIDAD CORPORATIVA
202107;1980122;GERENCIA OFERTAS COMERCIALES;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA COMERCIAL
202107;1980585;GERENCIA GESTIÓN RELACIONES LABORALES;VICEPRESIDENCIA TALENTO HUMANO Y DESARROLLO ORGANIZACIONAL;GERENCIA GESTIÓN RELACIONES LABORALES
202107;1980127;UNIDAD OFERTAS GOBIERNO;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA COMERCIAL
202107;1980158;UNIDAD CANALES METROPOLITANO;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA COMERCIAL
202107;1312013;UNIDAD OPERACIÓN Y MANTENIMIENTO GENERACIÓN ENERGÍA;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA GENERACIÓN ENERGÍA
202107;1980713;UNIDAD DIVERSIDAD Y DESARROLLO DE PROVEEDORES;VICEPRESIDENCIA SUMINISTROS Y SERVICIOS COMPARTIDOS;GERENCIA CADENA DE SUMINISTRO
202107;1980670;GERENCIA PLANEACIÓN FINANCIERA;VICEPRESIDENCIA EJECUTIVA FINANZAS E INVERSIONES;GERENCIA PLANEACIÓN FINANCIERA
202107;1980568;DIRECCIÓN DESARROLLO TALENTO HUMANO;VICEPRESIDENCIA TALENTO HUMANO Y DESARROLLO ORGANIZACIONAL;GERENCIA DESARROLLO HUMANO Y CULTURA ORGANIZACIONAL
